I1,I3,I5,I7,I9,I11,I13,I15,I17,I19,I21,I23,I25,I27,I29,Target
0.1058,0.0763,0.0373,0.0249,0.0175,0.0036,0,0.001,0,0,0,0,0,0,0,1
0.1075,0.0764,0.0392,0.0252,0.019,0.003,0.0009,0,0,0,0,0,0,0,0,1
0.1066,0.0764,0.0379,0.0262,0.0165,0.0024,0,0.0003,0,0,0,0,0,0,0,1
0.1077,0.0756,0.0375,0.025,0.0171,0.0026,0,0,0,0,0,0,0,0,0,1
0.1086,0.0767,0.0378,0.0252,0.0183,0.0031,0,0.0004,0,0,0,0,0,0,0,1
0.1049,0.0745,0.037,0.0242,0.0189,0.0035,0,0.0001,0,0,0,0,0,0,0,1
0.1064,0.0744,0.0376,0.0246,0.017,0.0029,0,0.0002,0,0,0,0,0,0,0,1
0.1067,0.0764,0.0373,0.0239,0.0173,0.0034,0,0.0004,0,0,0,0,0,0,0,1
0.1055,0.0756,0.0377,0.0252,0.0201,0.0036,0.0002,0,0,0,0,0,0,0,0,1
0.1066,0.0784,0.036,0.0241,0.0175,0.0023,0,0.0013,0,0,0,0,0,0,0,1
0.1076,0.0769,0.0376,0.0257,0.0192,0.0042,0.0001,0,0,0,0,0,0,0,0,1
0.1075,0.0771,0.0391,0.0247,0.0179,0.0032,0.0008,0.0012,0,0.0002,0,0,0,0,0,1
0.1087,0.0752,0.039,0.0252,0.0164,0.0028,0,0,0,0,0,0,0,0,0,1
0.108,0.0767,0.0384,0.0252,0.0177,0.0028,0,0.0004,0,0,0,0,0,0,0,1
0.1069,0.0775,0.0381,0.0255,0.0186,0.0041,0,0,0,0,0,0,0,0,0,1
0.1085,0.0771,0.0378,0.0248,0.0173,0.0023,0,0,0,0,0,0,0,0,0,1
0.107,0.0785,0.0387,0.0259,0.0198,0.0026,0,0.0012,0,0.0009,0,0,0,0,0,1
0.1058,0.0757,0.0388,0.024,0.0186,0.0044,0,0.0018,0,0.0009,0,0,0,0,0,1
0.1107,0.0778,0.0389,0.025,0.0191,0.0024,0.0014,0.0016,0,0,0,0,0,0,0,1
0.1091,0.0774,0.0376,0.0264,0.0191,0.0039,0,0.0013,0,0,0,0,0,0,0,1
0.1069,0.0776,0.0378,0.0254,0.0173,0.004,0,0,0,0,0,0,0,0,0,1
0.1076,0.0773,0.0391,0.0263,0.0191,0.0026,0.0012,0.0027,0,0.0003,0,0,0,0,0,1
0.1079,0.0767,0.0381,0.0269,0.0203,0.0041,0.0004,0.0026,0,0.0002,0,0,0,0,0,1
0.108,0.0763,0.0383,0.0251,0.0192,0.0026,0.0003,0.0014,0,0.0002,0,0,0,0,0,1
0.1085,0.0767,0.0393,0.0266,0.0196,0.0033,0,0.0025,0,0,0,0,0,0,0,1
0.1065,0.0754,0.0387,0.0246,0.0183,0.0043,0,0.0016,0,0.0012,0,0,0,0,0,1
0.1069,0.0762,0.0373,0.0259,0.0189,0.0016,0.0005,0,0,0.0013,0,0,0,0,0,1
0.1066,0.0766,0.0382,0.0262,0.0181,0.002,0.0001,0.001,0,0,0,0,0,0,0,1
0.1068,0.0758,0.038,0.0274,0.0179,0.0026,0,0.0003,0,0,0,0,0,0,0,1
0.1071,0.0754,0.0392,0.0266,0.0177,0.0042,0.0004,0.0013,0,0,0,0,0,0,0,1
0.1072,0.0764,0.0369,0.0255,0.0178,0.0039,0.0008,0.0021,0,0.0009,0,0,0,0,0,1
0.1073,0.0752,0.0378,0.0253,0.018,0.004,0,0.003,0,0.0007,0,0,0,0,0,1
0.1063,0.0769,0.038,0.0249,0.0184,0.0037,0.0002,0.0017,0,0,0,0,0,0,0,1
0.1074,0.0768,0.0382,0.0244,0.0184,0.0037,0.0004,0.0008,0,0,0,0,0,0,0,1
0.1065,0.0753,0.0376,0.0251,0.0184,0.0028,0,0.0001,0,0,0,0,0,0,0,1
0.1075,0.076,0.0385,0.0248,0.0178,0.0033,0,0.0029,0,0.0003,0,0,0,0,0,1
0.1073,0.0756,0.0382,0.0258,0.0187,0.0041,0,0.0015,0,0.0017,0,0,0,0,0,1
0.1049,0.0754,0.0374,0.0262,0.0197,0.0041,0,0.0011,0,0,0,0,0,0,0,1
0.1089,0.0766,0.0388,0.0261,0.0185,0.0025,0.0004,0.0019,0,0,0,0,0,0,0,1
0.108,0.0756,0.0381,0.0247,0.0182,0.0029,0.0017,0.0008,0,0.0004,0,0,0,0,0,1
0.1089,0.0791,0.0389,0.0255,0.0174,0.0035,0.0006,0.001,0,0.001,0,0,0,0,0,1
0.1717,0.049,0.0175,0,0.0019,0,0.0007,0,0,0,0,0,0,0,0,2
0.1824,0.0512,0.0179,0,0.0026,0,0.0024,0,0,0,0,0,0,0,0,2
0.1754,0.0494,0.015,0,0.0025,0,0.0013,0,0,0,0,0,0,0,0,2
0.189,0.0627,0.0204,0,0.0037,0,0.0008,0,0,0,0,0,0,0,0,2
0.1848,0.0526,0.0182,0,0.0019,0,0.0006,0,0,0,0,0,0,0,0,2
0.1893,0.0538,0.0164,0,0.0021,0,0,0,0,0,0,0,0,0,0,2
0.1866,0.0546,0.0176,0,0.0028,0,0.0009,0,0,0,0,0,0,0,0,2
0.1922,0.0555,0.0174,0,0.0022,0,0.0012,0,0,0,0,0,0,0,0,2
0.186,0.0535,0.0182,0,0.0035,0,0.0004,0,0,0,0,0,0,0,0,2
0.1939,0.0549,0.0171,0,0.0021,0,0.0014,0,0,0,0,0,0,0,0,2
0.1917,0.0536,0.0182,0,0.0015,0,0.0011,0,0,0,0,0,0,0,0,2
0.1897,0.055,0.0176,0,0.0034,0,0.0019,0,0,0,0,0,0,0,0,2
0.1918,0.0539,0.0171,0,0.0012,0,0,0,0,0,0,0,0,0,0,2
0.191,0.0565,0.0183,0,0.0011,0,0,0,0,0,0,0,0,0,0,2
0.1903,0.0543,0.0175,0,0.0021,0,0.0019,0,0,0,0,0,0,0,0,2
0.1902,0.0557,0.0165,0,0.002,0,0.0003,0,0,0,0,0,0,0,0,2
0.1891,0.0535,0.0178,0,0.0022,0,0.0012,0,0,0,0,0,0,0,0,2
0.1936,0.0549,0.018,0,0.0008,0,0,0,0,0,0,0,0,0,0,2
0.1921,0.0549,0.0176,0,0.0014,0,0.0012,0,0,0,0,0,0,0,0,2
0.1873,0.0565,0.0178,0,0.0019,0,0.0022,0,0,0,0,0,0,0,0,2
0.1936,0.0538,0.0172,0,0.0018,0,0.0001,0,0,0,0,0,0,0,0,2
0.1894,0.0555,0.0178,0,0.0014,0,0.0013,0,0,0,0,0,0,0,0,2
0.1987,0.0544,0.0181,0,0.003,0,0.0012,0,0,0,0,0,0,0,0,2
0.1889,0.0526,0.0174,0,0.0019,0,0,0,0,0,0,0,0,0,0,2
0.1909,0.0528,0.0192,0,0.0015,0,0.0017,0,0,0,0,0,0,0,0,2
0.1888,0.0553,0.0178,0,0.0026,0,0.0008,0,0,0,0,0,0,0,0,2
0.1931,0.057,0.0181,0,0.0014,0,0.0006,0,0,0,0,0,0,0,0,2
0.1917,0.0556,0.0174,0,0.0024,0,0.0017,0,0,0,0,0,0,0,0,2
0.1887,0.0566,0.0196,0,0.003,0,0.0015,0,0,0,0,0,0,0,0,2
0.1874,0.0528,0.0191,0,0.0015,0,0.0011,0,0,0,0,0,0,0,0,2
0.1962,0.0557,0.018,0,0.0017,0,0.0004,0,0,0,0,0,0,0,0,2
0.1929,0.0554,0.0191,0,0,0,0.0007,0,0,0,0,0,0,0,0,2
0.1953,0.0563,0.0176,0,0.0018,0,0.0022,0,0,0,0,0,0,0,0,2
0.2327,0.0825,0.0296,0,0.0096,0,0,0,0,0,0,0,0,0,0,2
0.268,0.0757,0.0264,0,0.0081,0,0.0002,0,0,0,0,0,0,0,0,2
0.2163,0.0602,0.0181,0,0.0031,0,0.0019,0,0,0,0,0,0,0,0,2
0.2193,0.0582,0.0201,0,0.0034,0,0.0006,0,0,0,0,0,0,0,0,2
0.2016,0.0661,0.0207,0,0.0055,0,0,0,0,0,0,0,0,0,0,2
0.2535,0.0678,0.023,0,0.0034,0,0.0012,0,0,0,0,0,0,0,0,2
0.2106,0.062,0.0199,0,0.0034,0,0.0014,0,0,0,0,0,0,0,0,2
0.2003,0.0593,0.017,0,0.0057,0,0.0004,0,0,0,0,0,0,0,0,2
0.2097,0.0577,0.0188,0,0.0023,0,0.0013,0,0,0,0,0,0,0,0,2
0.2061,0.0617,0.0198,0,0.0025,0,0.0006,0,0,0,0,0,0,0,0,2
0.246,0.0798,0.0276,0,0.0061,0,0.0007,0,0,0,0,0,0,0,0,2
0.2313,0.0771,0.0249,0,0.0078,0,0,0,0,0,0,0,0,0,0,2
0.2485,0.0665,0.0206,0,0.007,0,0,0,0,0,0,0,0,0,0,2
0.2408,0.0736,0.0263,0,0.0054,0,0.0008,0,0,0,0,0,0,0,0,2
0.2467,0.0785,0.0286,0,0.0041,0,0,0,0,0,0,0,0,0,0,2
0.2475,0.0717,0.0243,0,0.0081,0.0011,0.0019,0,0,0,0,0,0,0,0,2
0.2413,0.0586,0.0189,0,0.0023,0,0.0015,0,0,0,0,0,0,0,0,2
0.2001,0.0543,0.0173,0,0.0033,0,0.0015,0,0,0,0,0,0,0,0,2
0.2141,0.0596,0.019,0,0.0028,0,0.0014,0,0,0,0,0,0,0,0,2
0.2309,0.0802,0.0284,0,0.0053,0,0.0015,0,0,0,0,0,0,0,0,2
0.2282,0.0716,0.0215,0,0.0061,0.0011,0,0,0,0,0,0,0,0,0,2
0.2542,0.0682,0.0215,0,0.0101,0.0026,0.001,0,0,0,0,0,0,0,0,2
0.252,0.0719,0.025,0,0.0066,0,0.0013,0,0,0,0,0,0,0,0,2
0.2528,0.0793,0.0268,0,0.0089,0.0029,0.001,0,0,0,0,0,0,0,0,2
0.2759,0.0811,0.028,0,0.008,0,0,0,0,0,0,0,0,0,0,2
0.2316,0.0817,0.0283,0,0.0067,0,0,0,0,0,0,0,0,0,0,2
0.2125,0.0624,0.0191,0,0.0058,0,0.0005,0,0,0,0,0,0,0,0,2
0.2358,0.0812,0.0285,0,0.008,0.0013,0,0,0,0,0,0,0,0,0,2
0.2503,0.0831,0.0288,0,0.0085,0.0008,0,0,0,0,0,0,0,0,0,2
0.2599,0.0664,0.0201,0,0.0062,0,0.0005,0,0,0,0,0,0,0,0,2
0.2549,0.0702,0.0236,0,0.0087,0.001,0.0002,0,0,0,0,0,0,0,0,2
0.2703,0.0795,0.0273,0,0.0098,0.0001,0,0,0,0,0,0,0,0,0,2
0.2315,0.0718,0.0243,0,0.0039,0,0,0,0,0,0,0,0,0,0,2
0.2251,0.0685,0.0231,0,0.0014,0,0.0013,0,0,0,0,0,0,0,0,2
0.2221,0.0613,0.0199,0,0.0036,0,0.001,0,0,0,0,0,0,0,0,2
0.2485,0.0659,0.0213,0,0.0052,0,0.0004,0,0,0,0,0,0,0,0,2
0.2257,0.0557,0.0192,0,0.0057,0,0.0002,0,0,0,0,0,0,0,0,2
0.2376,0.0605,0.017,0,0.0025,0,0.0013,0,0,0,0,0,0,0,0,2
0.1937,0.0536,0.018,0,0.0042,0,0.0002,0,0,0,0,0,0,0,0,2
0.2368,0.0638,0.02,0,0.0043,0,0.0007,0,0,0,0,0,0,0,0,2
0.207,0.0579,0.0196,0,0.0074,0,0.001,0,0,0,0,0,0,0,0,2
0.2321,0.0716,0.0222,0,0.0081,0,0,0,0,0,0,0,0,0,0,2
0.1963,0.054,0.0178,0,0.0056,0,0.0001,0,0,0,0,0,0,0,0,2
0.2027,0.0648,0.0219,0,0.003,0,0.0012,0,0,0,0,0,0,0,0,2
0.1944,0.0674,0.0223,0,0.0057,0,0,0,0,0,0,0,0,0,0,2
0.2068,0.0592,0.018,0,0.0033,0,0.0016,0,0,0,0,0,0,0,0,2
0.1865,0.0662,0.0222,0,0.0036,0,0.0008,0,0,0,0,0,0,0,0,2
0.2024,0.0578,0.0172,0,0.0021,0,0.001,0,0,0,0,0,0,0,0,2
0.2083,0.0657,0.0217,0,0.0052,0,0.0007,0,0,0,0,0,0,0,0,2
0.2294,0.0648,0.0196,0,0.0037,0,0.0006,0,0,0,0,0,0,0,0,2
0.2409,0.0671,0.0198,0,0.0036,0,0.0003,0,0,0,0,0,0,0,0,2
0.2443,0.0698,0.0232,0,0.0049,0,0.0001,0,0,0,0,0,0,0,0,2
